                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                0.73375,                0.40024,                0.93377,                0.87764,                0.68339,                0.77398,                0.44083,                 1.5289,                0.90002,                  1.419,             0.00026825,             0.00026825,             0.00026825
                    122,                0.71224,                0.38856,                0.92759,                0.88497,                0.68276,                0.77795,                0.44041,                 1.5349,                0.88405,                 1.4186,                0.00026,                0.00026,                0.00026
                    123,                0.70981,                 0.3924,                0.92883,                0.86487,                0.69159,                0.77846,                0.44387,                 1.5326,                0.86389,                 1.4238,             0.00025175,             0.00025175,             0.00025175
                    124,                0.70331,                0.38871,                0.92346,                0.90239,                0.68018,                0.78053,                0.44222,                 1.5382,                  0.862,                 1.4211,              0.0002435,              0.0002435,              0.0002435
                    125,                0.70439,                0.38761,                0.92344,                0.87861,                0.68729,                0.77861,                0.44012,                 1.5414,                 0.8708,                 1.4345,             0.00023525,             0.00023525,             0.00023525
                    126,                0.70042,                0.38227,                0.92549,                0.87429,                0.68677,                 0.7838,                0.44864,                 1.5321,                0.85693,                  1.429,               0.000227,               0.000227,               0.000227
                    127,                0.69168,                0.38443,                0.91929,                0.90114,                0.66893,                0.77207,                0.43777,                 1.5358,                0.88158,                 1.4227,             0.00021875,             0.00021875,             0.00021875
                    128,                0.68983,                 0.3845,                0.92183,                0.90184,                0.66963,                0.77977,                0.44415,                 1.5298,                 0.8454,                 1.4274,              0.0002105,              0.0002105,              0.0002105
                    129,                0.68313,                0.37364,                0.91796,                0.89926,                0.67109,                 0.7787,                0.44423,                 1.5367,                0.86462,                 1.4357,             0.00020225,             0.00020225,             0.00020225
                    130,                0.67819,                0.37689,                0.91988,                 0.8807,                0.68775,                0.78464,                0.44784,                 1.5322,                0.86487,                 1.4224,               0.000194,               0.000194,               0.000194
                    131,                0.67836,                0.37584,                0.91576,                0.89626,                0.67464,                0.77973,                0.44467,                 1.5355,                0.86939,                 1.4281,             0.00018575,             0.00018575,             0.00018575
                    132,                0.67652,                0.37467,                0.91567,                0.89319,                0.67064,                0.77282,                0.44355,                 1.5381,                0.85917,                 1.4321,              0.0001775,              0.0001775,              0.0001775
                    133,                 0.6629,                0.36318,                0.91057,                 0.8867,                0.68616,                0.78072,                0.44515,                 1.5294,                0.84932,                 1.4299,             0.00016925,             0.00016925,             0.00016925
                    134,                0.66243,                0.36808,                0.91593,                0.87535,                 0.6907,                0.77975,                0.44325,                 1.5296,                0.85659,                 1.4342,               0.000161,               0.000161,               0.000161
                    135,                0.65977,                0.36744,                0.90801,                0.88044,                0.68561,                0.78173,                0.44896,                 1.5275,                0.83804,                 1.4393,             0.00015275,             0.00015275,             0.00015275
                    136,                0.66534,                0.36996,                 0.9151,                0.86994,                0.68567,                0.77858,                0.44593,                 1.5306,                0.86435,                 1.4368,              0.0001445,              0.0001445,              0.0001445
                    137,                0.65749,                0.36636,                0.91016,                0.87644,                0.68298,                0.77898,                0.44451,                  1.531,                0.84734,                 1.4426,             0.00013625,             0.00013625,             0.00013625
                    138,                0.64903,                0.36567,                0.90742,                0.87461,                0.69102,                0.78663,                0.45014,                 1.5237,                0.85147,                 1.4387,               0.000128,               0.000128,               0.000128
                    139,                0.64545,                0.36081,                0.90855,                0.84961,                0.69477,                0.78036,                0.44737,                 1.5262,                0.85079,                 1.4355,             0.00011975,             0.00011975,             0.00011975
                    140,                0.65029,                0.36331,                0.90748,                0.88514,                0.69746,                 0.7852,                0.45073,                 1.5274,                0.84648,                 1.4404,              0.0001115,              0.0001115,              0.0001115
                    141,                0.67268,                0.32518,                0.91874,                0.86024,                0.69441,                0.77074,                0.43555,                  1.536,                0.83746,                 1.4463,             0.00010325,             0.00010325,             0.00010325
                    142,                0.64828,                0.31698,                0.90362,                0.87735,                0.67737,                0.77375,                0.44234,                 1.5368,                0.86619,                 1.4438,                9.5e-05,                9.5e-05,                9.5e-05
                    143,                0.63168,                0.30892,                0.89692,                0.85718,                 0.6803,                0.77294,                0.44109,                 1.5294,                0.86478,                 1.4345,              8.675e-05,              8.675e-05,              8.675e-05
                    144,                0.62982,                0.30734,                0.89432,                0.84343,                0.69143,                0.77348,                0.44428,                 1.5218,                0.87013,                 1.4347,               7.85e-05,               7.85e-05,               7.85e-05
                    145,                0.61412,                0.30355,                0.88753,                0.90596,                 0.6612,                0.77683,                0.44223,                 1.5259,                0.86908,                 1.4421,              7.025e-05,              7.025e-05,              7.025e-05
                    146,                0.60986,                0.30438,                0.89323,                0.90724,                0.66422,                0.77713,                0.44524,                 1.5271,                 0.8713,                 1.4387,                6.2e-05,                6.2e-05,                6.2e-05
                    147,                0.60341,                0.30184,                0.87972,                0.85609,                 0.6919,                0.77592,                0.44498,                 1.5253,                0.87449,                 1.4388,              5.375e-05,              5.375e-05,              5.375e-05
                    148,                0.61199,                0.30477,                0.89488,                0.89577,                0.66764,                 0.7756,                 0.4445,                 1.5252,                0.87452,                 1.4428,               4.55e-05,               4.55e-05,               4.55e-05
                    149,                0.58997,                0.29728,                0.87908,                0.90015,                0.66596,                 0.7759,                0.44291,                 1.5285,                0.86529,                 1.4459,              3.725e-05,              3.725e-05,              3.725e-05
                    150,                0.58419,                 0.2917,                0.87706,                0.90445,                0.65923,                0.77303,                0.44541,                 1.5242,                0.86723,                 1.4467,                2.9e-05,                2.9e-05,                2.9e-05
